ID,Uid,age,sex,labor,repic_sid,best_weight,last_weight
261,262,41,男,中,955:1:864:95:573:99:620:2:881:943:71:444:954:873:137:809:870:856:128:120:924:909:802:385,10.0:38.0:28.0:9.0:233.0:91.0:9.0:59.0:108.0:32.0:50.0:42.0:10.0:10.0:9.0:26.0:183.0:10.0:9.0:9.0:9.0:40.0:10.0:300.0,39.0:63.0:10.0:91.0:70.0:9.0:9.0:75.0:280.0:10.0:10.0:229.0:13.0:10.0:9.0:34.0:10.0:10.0:9.0:9.0:41.0:9.0:9.0:300.0
262,263,30,男,中,94:834:819:461:642:814:96:661:95:916:915:948:942:880:675:676:113:187:186:32,32.0:10.0:10.0:243.0:10.0:10.0:59.0:10.0:11.0:13.0:26.0:10.0:45.0:219.0:10.0:35.0:10.0:29.0:372.0:151.0,37.0:10.0:10.0:229.0:10.0:22.0:28.0:10.0:33.0:12.0:27.0:25.0:15.0:253.0:10.0:22.0:12.0:32.0:374.0:148.0
263,264,42,女,重,94:832:635:95:872:809:870:100:833:632:895:919:908:10:17:237:231:667:759:132:141:492:574:967,12.0:9.0:9.0:78.0:70.0:26.0:136.0:12.0:9.0:9.0:94.0:10.0:40.0:42.0:110.0:78.0:346.0:22.0:9.0:64.0:27.0:249.0:73.0:66.0,80.0:15.0:9.0:10.0:75.0:10.0:59.0:10.0:10.0:9.0:166.0:10.0:40.0:109.0:40.0:287.0:212.0:13.0:10.0:9.0:9.0:322.0:27.0:40.0
264,265,18,女,中,908:820:6:95:921:94:890:1:722:889:38:105:688:872:627:643:661:1031:938:116:247:265:300:509,10.0:20.0:29.0:81.0:31.0:11.0:59.0:38.0:10.0:134.0:86.0:11.0:44.0:106.0:9.0:9.0:9.0:10.0:53.0:9.0:191.0:200.0:62.0:350.0,40.0:10.0:10.0:80.0:10.0:9.0:11.0:10.0:10.0:263.0:127.0:9.0:37.0:28.0:9.0:9.0:10.0:11.0:29.0:9.0:10.0:158.0:204.0:200.0
265,266,41,男,中,104:558:521:5:928:894:663:664:624:376:207:787:1043:828:120,100.0:154.0:131.0:150.0:40.0:299.0:9.0:8.0:9.0:208.0:192.0:17.0:50.0:26.0:9.0,100.0:154.0:139.0:150.0:40.0:300.0:9.0:8.0:9.0:167.0:171.0:19.0:40.0:21.0:9.0
266,267,27,女,中,444:212:207:876:452:926:28:94:908:464:108:870:4:96:41:813:136:113:670:788:649:636:1011,35.0:112.0:289.0:40.0:286.0:10.0:48.0:20.0:40.0:10.0:22.0:261.0:52.0:59.0:51.0:10.0:9.0:9.0:10.0:42.0:9.0:9.0:56.0,241.0:163.0:199.0:50.0:10.0:36.0:39.0:80.0:12.0:79.0:10.0:249.0:70.0:10.0:39.0:37.0:9.0:9.0:10.0:10.0:9.0:9.0:40.0
267,268,35,女,中,908:809:625:627:629:920:924:766:738:754:932:896:870:484:558:46:146:114:112:237:104,30.0:10.0:9.0:9.0:9.0:10.0:10.0:32.0:13.0:10.0:39.0:201.0:100.0:318.0:10.0:150.0:9.0:9.0:9.0:383.0:101.0,30.0:10.0:9.0:9.0:9.0:10.0:10.0:32.0:13.0:10.0:40.0:138.0:162.0:318.0:10.0:149.0:9.0:9.0:9.0:383.0:102.0
268,269,21,男,重,908:909:94:41:243:910:96:256:954:841:862:211:931:95:32:929:45:827:178:625:653:452:688:708:875,9.0:91.0:12.0:50.0:10.0:69.0:12.0:252.0:92.0:9.0:81.0:205.0:9.0:76.0:50.0:9.0:50.0:67.0:9.0:50.0:62.0:350.0:9.0:9.0:300.0,10.0:30.0:11.0:48.0:10.0:10.0:11.0:347.0:23.0:10.0:10.0:58.0:10.0:79.0:51.0:10.0:49.0:29.0:9.0:15.0:9.0:350.0:10.0:10.0:300.0
269,270,43,男,轻,881:941:455:935:820:871:645:620:623:573:558:667:668:275:99:98:63:52:921:115,236.0:10.0:219.0:55.0:10.0:64.0:9.0:9.0:9.0:121.0:10.0:47.0:10.0:382.0:82.0:18.0:64.0:86.0:43.0:9.0,161.0:18.0:10.0:22.0:10.0:139.0:9.0:9.0:9.0:330.0:10.0:29.0:24.0:300.0:84.0:15.0:99.0:50.0:39.0:9.0
270,271,23,男,重,909:815:908:187:101:630:871:870:631:63:646:102:1:911:598:471:872:111:1036:947:940:704:682:112,9.0:9.0:9.0:454.0:9.0:13.0:151.0:130.0:77.0:10.0:121.0:81.0:140.0:43.0:10.0:340.0:17.0:9.0:10.0:12.0:53.0:124.0:131.0:60.0,10.0:9.0:26.0:405.0:10.0:9.0:120.0:51.0:10.0:10.0:9.0:80.0:141.0:10.0:10.0:340.0:129.0:10.0:10.0:19.0:19.0:9.0:55.0:9.0
